oid,owner,customer,short_name,long_name,description,tls_dv,tls_ov,tls_ev,tls_iv,codesigning_ov,codesigning_ev
1.3.6.1.4.1.6449.1.2.2.36.1,Comodo,University of Texas,comodo-unioftexas-sanantonio,Comodo - University of Texas San Antonio,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.2,Comodo,University of Texas,comodo-unioftexas-austin,Comodo - University of Texas Austin,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.3,Comodo,University of Texas,comodo-unioftexas-dallas,Comodo - University of Texas Dallas,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.4,Comodo,University of Texas,comodo-unioftexas-panamerican,Comodo - University of Texas Pan American,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.5,Comodo,University of Texas,comodo-unioftexas-houston,Comodo - University of Texas Houston,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.6,Comodo,University of Texas,comodo-unioftexas-arlington,Comodo - University of Texas Arlington,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.37,Comodo,Dotname Korea,comodo-innossl,Comodo - Dotname Korea,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.38,Comodo,TrustSign,comodo-trustsign,Comodo - TrustSign,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.39,Comodo,Formidable,comodo-formidable,Comodo - Formidable,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.40,Comodo,SSL Blindado,comodo-sslblindado,Comodo - SSL Blindado,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.41,Comodo,Dreamscape Networks,comodo-crazydomains,Comodo - Dreamscape Networks,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.42,Comodo,K Software,comodo-ksoftware,Comodo - K Software,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.43,Comodo,McAfee,comodo-mcafee,Comodo - McAfee,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.44,Comodo,FBS,comodo-signsec,Comodo - FBS,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.45,Comodo,ReliaSite,comodo-reliasite,Comodo - ReliaSite,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.46,Comodo,Flextronics,comodo-flextronics,Comodo - Flextronics,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.47,Comodo,CertAssure,comodo-certassure,Comodo - CertAssure,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.49,Comodo,TrustAsia,comodo-trustasia,Comodo - TrustAsia,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.5,Comodo,eNom,comodo-securebusinessservices-ov,Comodo - eNom OV,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.50,Comodo,SecureCore,comodo-securecore,Comodo - SecureCore,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.51,Comodo,Western Digital,comodo-westerndigital,Comodo - Western Digital,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.52,Comodo,cPanel,comodo-cpanel,Comodo - cPanel,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.53,Comodo,BlackCert,comodo-blackcert,Comodo - BlackCert,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.54,Comodo,KeyNet Systems,comodo-keynet,Comodo - KeyNet Systems,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.55,Comodo,InterContinental Hotels,comodo-intercontinentalhotels,Comodo - InterContinental Hotels,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.56,Comodo,UPS,comodo-ups,Comodo - UPS,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.57,Comodo,Saint Barnabas Corp,comodo-saintbarnabas,Comodo - Saint Barnabas Corp,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.6,Comodo,DigiCert,comodo-digicert,Comodo - DigiCert,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.7,Comodo,,comodo-tls-dv,Comodo TLS DV,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.8,Comodo,CSC,comodo-csctrustedsecure,Comodo - CSC,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.9,Comodo,Digi-Sign,comodo-digisign,Comodo - Digi-Sign,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.3.1,Comodo,,comodo-usertrust,Comodo Usertrust,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.782.1.2.1.8.1,Network Solutions,,network-solutions-ev,Network Solutions EV OID,,,,TRUE,,,
